병원ID,병원명,전화번호,주소,위도,경도,삭제 여부,장소 id
1,위례해솔정신건강의학과의원,02-6959-7707,"서울특별시 송파구 위례광장로 193, 대길프라자 604호 (장지동)",37.4817473,127.1422043,0,
2,성모행복정신건강의학과의원,02-6930-5777,"서울특별시 송파구 양산로 42, 성보빌딩 3층 (거여동)",37.4926414,127.1445023,0,
3,인성정신건강의학과의원,02-430-6251,"서울특별시 송파구 마천로 264, 4층 (거여동, 흥일빌딩)",37.4980924,127.1461657,0,
4,성모빛정신건강의학과의원,02-6953-1905,"서울특별시 강동구 고덕로 353, 고덕그라시움(제1상가) 238-240, 212-213호 (고덕동)",37.5571351,127.1645103,0,
5,성모채움정신건강의학과의원,02-409-5575,"서울특별시 송파구 오금로 420, 유니팜코리아 402호 (가락동)",37.4969986,127.1362955,0,
6,테오정신건강의학과의원,02-427-7583,"서울특별시 강동구 고덕로 262, 고덕역 효성해링턴 타워 더퍼스트 402~403호 (명일동)",37.5546669,127.1546266,0,
7,닥터진힐링정신건강의학과의원,02-402-0667,"서울특별시 송파구 송이로 200, 2층 (문정동, 대진빌딩)",37.4900099,127.1279974,0,
8,강동정신건강의학과의원,02-487-6220,"서울특별시 강동구 양재대로 1459, (길동)",37.536162,127.1390863,0,
9,평온정신건강의학과의원,02-488-8555,"서울특별시 강동구 양재대로 1477, 6층 602호 (길동, 삼환빌딩)",37.5377748,127.1396971,0,
10,하늘빛사랑정신건강의학과의원,02-408-8359,"서울특별시 송파구 송이로 144, 유진빌딩 3층 (가락동)",37.4939281,127.1239195,0,
11,송파성모정신건강의학과의원,02-2054-8977,"서울특별시 송파구 송파대로 167, B동 B212호 (문정동, 문정역테라타워)",37.4848354,127.1210395,0,
12,온맘정신건강의학과의원,02-427-5342,"서울특별시 강동구 양재대로 1607, 약봉빌딩 2층 (천호동)",37.5490626,127.1434257,0,
13,우리공감정신건강의학과의원,02-475-7557,"서울특별시 송파구 법원로 114, C동 212호 (문정동, 엠스테이트)",37.4857987,127.1206993,0,
14,진솔정신건강의학과의원,02-6951-5117,"서울특별시 송파구 법원로 114, 엠스테이트 A동 206호 (문정동)",37.4857987,127.1206993,0,
15,괜찮아정신건강의학과의원,02-526-8488,"서울특별시 송파구 송파대로 201, 송파 테라타워2 B동 205호 (문정동)",37.4878287,127.1206324,0,
16,김종하정신과의원,02-488-8855,"서울특별시 강동구 천호대로 1123, (길동)",37.5350712,127.1365238,0,
17,송파드림정신건강의학과의원,02-2043-7737,"서울특별시 송파구 마천로 53, 대경빌딩 4층 (오금동)",37.5085536,127.1266733,0,
18,쉼정신건강의학과의원,02-485-0055,"서울특별시 강동구 천호대로 1116, 2층 207,028호 (성내동, 라이저강동빌딩)",37.5346716,127.1352138,0,
19,서울더나은정신건강의학과의원,02-401-2012,"서울특별시 송파구 중대로 101, 동부썬빌 2층 206호 (가락동)",37.4933874,127.1197278,0,
20,대성정신건강의학과의원,02-485-4288,"서울특별시 강동구 구천면로 376, 세일빌딩 5층 (천호동)",37.550546,127.1404392,0,
21,타임정신건강의학과의원,02-404-0321,"서울특별시 송파구 중대로 97, 2층 (가락동)",37.4931747,127.1193518,0,
22,김선미신경정신과의원,02-408-0711,"서울특별시 송파구 중대로 80, (문정동, 엘지트윈리젠시 3층)",37.491762,127.1178428,0,
23,웰봄정신건강의학과의원,02-6959-7177,"서울특별시 강동구 천호대로 1089, 301호 (천호동, 강동 헤르셔)",37.5365922,127.1334297,0,
24,늘푸른정신과의원,02-474-6007,"서울특별시 강동구 천호대로 1092, (성내동, 에스케이허브진)",37.5352302,127.1326141,0,
25,전현수정신건강의학과의원,02-400-2911,"서울특별시 송파구 중대로 68, 401호 (문정동, 훼미리 샤르망)",37.4915772,127.1164484,0,
26,이수철신경정신과의원,02-473-2100,"서울특별시 강동구 천호대로 1037, 세우빌딩 (천호동)",37.5378393,127.1273553,0,
27,나우정신과의원,02-476-7533,"서울특별시 강동구 천호대로 1033, 5층 (천호동)",37.5378953,127.126974,0,
28,연세강신경과정신과의원,02-478-1070,"서울특별시 강동구 천호대로 1027, 4층 (천호동)",37.5381742,127.1263458,0,
29,연세필정신건강의학과의원,02-6383-7700,"서울특별시 강동구 천호대로 1015, 8층 (천호동)",37.5385084,127.1251222,0,
30,맘톡톡정신건강의학과의원,02-6952-7508,"서울특별시 강동구 올림픽로 664, 306호 (천호동, 대우 한강 베네시티)",37.5406109,127.1249414,0,
31,삼성온빛정신건강의학과의원,02-420-3358,"서울특별시 송파구 송파대로 373, 5층 (석촌동)",37.5009198,127.1106212,0,
32,삼성아이정신과의원,02-425-4600,"서울특별시 송파구 송파대로 380, (송파동, 5층)",37.5016805,127.1108521,0,
33,봄날정신건강의학과의원,02-485-3345,"서울특별시 강동구 천호대로 1006, 브라운스톤천호 3층 309호 (성내동)",37.5380133,127.1237896,0,
34,현정신과의원,02-484-0678,"서울특별시 강동구 천호대로 1006, (성내동, 브라운스톤천호)",37.5380133,127.1237896,0,
35,더쉼정신건강의학과의원,02-470-6656,"서울특별시 강동구 올림픽로 660, 306호 (천호동, 천호엘크루주상복합)",37.5401895,127.124472,0,
36,강남정신과의원,02-482-3500,"서울특별시 강동구 천호대로 997, (천호동)",37.5393463,127.1233121,0,
37,사과나무정신건강의학과의원,02-482-5275,"서울특별시 강동구 올림픽로 665, 대일빌딩 2층 (천호동)",37.5409236,127.1238914,0,
38,마음안정신건강의학과의원,473-1160,"서울특별시 강동구 올림픽로 651, 6층 (천호동)",37.5397472,127.1233821,0,
39,송파서울정신과의원,02-415-8468,"서울특별시 송파구 송파대로 392, (송파동)",37.5026246,127.1100171,0,
40,장석하정신건강의학과의원,02-442-7585,"서울특별시 강동구 올림픽로 787, 2층 202호 (암사동, 태성프라자)",37.5514771,127.1277494,0,
41,연세나루정신건강의학과의원,02-412-3370,"서울특별시 송파구 송파대로 404, 우일빌딩 2층 (송파동)",37.5033741,127.1093318,0,
42,마음정신건강의학과의원,02-425-6616,"서울특별시 송파구 송파대로 404-1, 2층 (송파동)",37.5034721,127.1092504,0,
43,온가족정신건강의학과의원,02-449-7790,"서울특별시 송파구 송파대로 345, A동 3003~3005호 (가락동, 헬리오시티)",37.4976183,127.1072604,0,
44,서울성모정신건강의학과의원,02-6952-6119,"서울특별시 강남구 광평로56길 8-13, 수서타워 302, 303호 (수서동)",37.4867657,127.1031943,0,
45,공감정신건강의학과의원,02-412-1105,"서울특별시 송파구 송파대로 409, 범양빌딩 3층 (석촌동)",37.5035123,127.1082963,0,
46,아이나래정신건강의학과의원,02-415-4266,"서울특별시 송파구 올림픽로 378, (방이동, 4층)",37.5169902,127.1121604,0,
47,연세늘봄정신건강의학과의원,02-417-3331,"서울특별시 송파구 송파대로 422, (송파동, 영빌딩)",37.5049953,127.1078702,0,
48,삼성마음친구정신건강의학과의원,02-445-8755,"서울특별시 강남구 광평로51길 8, 로얄프라자 203호 (수서동)",37.4883738,127.1024711,0,
49,수서삼성정신건강의학과의원,02-2226-7100,"서울특별시 강남구 밤고개로1길 10, 201호 (수서동, 수서현대벤쳐빌)",37.4880245,127.1018445,0,
50,이룸정신건강의학과의원,02-425-1212,"서울특별시 송파구 백제고분로 365, 태문빌딩 2층 (석촌동)",37.5052718,127.1063142,0,
51,위드정신건강의학과의원,02-424-7579,"서울특별시 송파구 송파대로 441, (석촌동, 6층)",37.5058131,127.1061986,0,
52,잠실괜찮아정신건강의학과의원,02-418-7725,"서울특별시 송파구 올림픽로 336, 대우유토피아오피스텔 201호 (방이동)",37.5154024,127.1074749,0,
53,다온정신건강의학과의원,02-3432-1027,"서울특별시 송파구 올림픽로35가길 9, 225호,226호 (신천동, 잠실 푸르지오 월드마크)",37.5173947,127.1036837,0,
54,잠실숲정신건강의학과의원,02-425-0405,"서울특별시 송파구 올림픽로 289, 잠실시그마타워 신천동동 3층 314호 (신천동)",37.5145775,127.1025391,0,
55,잠실아이정신건강의학과의원,02-2202-7512,"서울특별시 송파구 올림픽로 293-19, (신천동, 현대타워 104호)",37.515133,127.102499,0,
56,행복나루정신건강의학과의원,02-423-4477,"서울특별시 송파구 올림픽로35길 112, 2동 323,324호 (신천동, 장미아파트 비상가)",37.517819,127.1017233,0,
57,잠실하늘정신건강의학과의원,02-416-1333,"서울특별시 송파구 송파대로 558, 월드타워빌딩 2층 201호 (신천동)",37.5150949,127.0997117,0,
