"병원ID","병원명","전화번호","주소","위도","경도","삭제 여부(1: 삭제)","구글맵 placeId"
"0c8d240de07d498ea4e374f9248b5c5b","위례해솔정신건강의학과의원","0269597707","서울특별시 송파구 위례광장로 193, 대길프라자 604호 (장지동)","37.4817473","127.1422043","0","ChIJRROg9uh5ezURsVD9jZetn4Y"
"d0d9ccee5b1b4261a4d40d6e4281c391","성모행복정신건강의학과의원","0269305777","서울특별시 송파구 양산로 42, 성보빌딩 3층 (거여동)","37.4926414","127.1445023","0","ChIJcZBWYnSvfDURA7XWAjFB5mg"
"48919c7912fc4be69788ca44ff0b357c","인성정신건강의학과의원","024306251","서울특별시 송파구 마천로 264, 4층 (거여동, 흥일빌딩)","37.4980924","127.1461657","0","ChIJGzzph5-vfDUR-FMtoP1dt6E"
"138021db86bb4bbe9e8db2cb6342a648","성모빛정신건강의학과의원","0269531905","서울특별시 강동구 고덕로 353, 고덕그라시움(제1상가) 238-240, 212-213호 (고덕동)","37.5571351","127.1645103","0","ChIJN9cOSa-xfDUR36B2UOsdLkI"
"99e22719c08949f0ba7ef4f474c220e4","성모채움정신건강의학과의원","024095575","서울특별시 송파구 오금로 420, 유니팜코리아 402호 (가락동)","37.4969986","127.1362955","0","ChIJSzgblzmvfDURUnaHmxVU2PU"
"9b0728f34cd843639f6db75ba207a7bb","테오정신건강의학과의원","024277583","서울특별시 강동구 고덕로 262, 고덕역 효성해링턴 타워 더퍼스트 402~403호 (명일동)","37.5546669","127.1546266","0","ChIJYRk2xz-xfDUR8W2g9RRntdw"
"174af917d79343a3b7a5294fd6261cec","닥터진힐링정신건강의학과의원","024020667","서울특별시 송파구 송이로 200, 2층 (문정동, 대진빌딩)","37.4900099","127.1279974","0","ChIJkWRfSGKvfDURwNTA7_H36vA"
"8e315b2c7b4043449f71a0508a11531e","강동정신건강의학과의원","024876220","서울특별시 강동구 양재대로 1459, (길동)","37.536162","127.1390863","0",
"837122311dd9402db29135c813cc0501","평온정신건강의학과의원","024888555","서울특별시 강동구 양재대로 1477, 6층 602호 (길동, 삼환빌딩)","37.5377748","127.1396971","0","ChIJvViFatGxfDURkaJype0UwyA"
"95b4bc1bc7e343d7af2df040f1b1e177","하늘빛사랑정신건강의학과의원","024088359","서울특별시 송파구 송이로 144, 유진빌딩 3층 (가락동)","37.4939281","127.1239195","0","ChIJizquaIilfDURtSxDCRddBt4"
"61ccd89901ac4976b1761afe82392c24","송파성모정신건강의학과의원","0220548977","서울특별시 송파구 송파대로 167, B동 B212호 (문정동, 문정역테라타워)","37.4848354","127.1210395","0","ChIJBTZ6U_WlfDURDokMDD_OiuU"
"4df7dc4505df4388ad01422e220df5a2","온맘정신건강의학과의원","024275342","서울특별시 강동구 양재대로 1607, 약봉빌딩 2층 (천호동)","37.5490626","127.1434257","0","ChIJUepI-hSwfDURDtrNrAjlGLY"
"8ea1c6c8a2d1445e8286b4cc0875b64d","우리공감정신건강의학과의원","024757557","서울특별시 송파구 법원로 114, C동 212호 (문정동, 엠스테이트)","37.4857987","127.1206993","0","ChIJU4WkX_OlfDUR-H-XAIcIJFM"
"9bd47258a5384fd9a10665f3523f41dc","진솔정신건강의학과의원","0269515117","서울특별시 송파구 법원로 114, 엠스테이트 A동 206호 (문정동)","37.4857987","127.1206993","0","ChIJ89MNieilfDURimM2k8lnlEs"
"e8c4df7568a44447b70c65a2e8997b9f","괜찮아정신건강의학과의원","025268488","서울특별시 송파구 송파대로 201, 송파 테라타워2 B동 205호 (문정동)","37.4878287","127.1206324","0",
"a8c69006d86c478890d5e9a25d0a7aa5","김종하정신과의원","024888855","서울특별시 강동구 천호대로 1123, (길동)","37.5350712","127.1365238","0",
"7b943e739579424da1efd76c18da732a","송파드림정신건강의학과의원","0220437737","서울특별시 송파구 마천로 53, 대경빌딩 4층 (오금동)","37.5085536","127.1266733","0","ChIJ3yFvQ4evfDUR5p3xHy32X68"
"088c8244b53e450c903061fad21c6db0","쉼정신건강의학과의원","024850055","서울특별시 강동구 천호대로 1116, 2층 207,028호 (성내동, 라이저강동빌딩)","37.5346716","127.1352138","0",
"1aef2649c9d74812b74cf5cf4e07753b","서울더나은정신건강의학과의원","024012012","서울특별시 송파구 중대로 101, 동부썬빌 2층 206호 (가락동)","37.4933874","127.1197278","0","ChIJPbsf6emlfDURwOvo3FJ-V4o"
"2b4bf581a3fb4872a8a93154a53ee9cc","대성정신건강의학과의원","024854288","서울특별시 강동구 구천면로 376, 세일빌딩 5층 (천호동)","37.550546","127.1404392","0","ChIJxWUkPPmvfDURu0bneh8TC1k"
"558dd1fb50c24094841a901baf686966","타임정신건강의학과의원","024040321","서울특별시 송파구 중대로 97, 2층 (가락동)","37.4931747","127.1193518","0","ChIJY5Dda6WlfDURrqK-CCyROeg"
"64972bbe24ad4908b9e1b8104e67bdc7","김선미신경정신과의원","024080711","서울특별시 송파구 중대로 80, (문정동, 엘지트윈리젠시 3층)","37.491762","127.1178428","0","ChIJ3frfzI2lfDURzRe-RkVrhZU"
"9ca5eb1e04794e22a3029c756edfc978","웰봄정신건강의학과의원","0269597177","서울특별시 강동구 천호대로 1089, 301호 (천호동, 강동 헤르셔)","37.5365922","127.1334297","0",
"12e6309b77474a0c8cfc6f19a43c9cf8","늘푸른정신과의원","024746007","서울특별시 강동구 천호대로 1092, (성내동, 에스케이허브진)","37.5352302","127.1326141","0","ChIJhawuSvyvfDURfbBa5f8UOWQ"
"cbb7fae5a936402f97688db5675b8b4c","전현수정신건강의학과의원","024002911","서울특별시 송파구 중대로 68, 401호 (문정동, 훼미리 샤르망)","37.4915772","127.1164484","0","ChIJq4HslY2lfDURNjPSergoNmM"
